
starttime;duration;leaderSpeed;frameErrorRate;startBraking;value;caccC1;caccOmegaN;caccXi
2024-04-06 05:01:44;0:27:09;30;0;5;0.00854816;0.987173;1.22574Hz;455.54
2024-04-06 01:52:49;1:19:35;30;0.4;5;0.911786;0.324273;1.21801Hz;6.88014
2024-04-06 01:53:59;0:15:08;30;0.8;5;2.31475;0.0739661;0.00356834Hz;14.793
2024-04-06 05:15:35;0:24:20;30;0.95;5;1.66732;0.129972;1.42186Hz;4.51484
2024-04-06 02:18:46;0:27:27;70;0;5;0.00698951;0.863008;1.89812Hz;9.68118
2024-04-06 05:28:53;0:22:09;70;0.4;5;2.43898;0.324273;1.21801Hz;6.88014
2024-04-06 03:08:09;0:10:47;70;0.8;5;1.99995;0.00192214;1.97378Hz;97.782
2024-04-06 03:12:24;0:24:17;70;0.95;5;1.67083;0.129972;1.42186Hz;4.51484
2024-04-06 03:18:56;0:27:22;110;0;5;0.00827945;0.863008;1.89812Hz;9.68118
2024-04-06 03:36:42;1:12:20;110;0.4;5;2.06395;0.324273;1.21801Hz;6.88014
2024-04-06 03:46:18;0:10:46;110;0.8;5;2.00891;0.00793244;0.0872093Hz;394.956
2024-04-06 03:57:04;0:09:59;110;0.95;5;1.67885;0.129972;1.42186Hz;4.51484
2024-04-06 04:07:03;0:27:23;150;0;5;0.0184299;0.863008;1.89812Hz;9.68118
2024-04-06 05:39:56;1:10:57;150;0.4;5;1.76792;0.324273;1.21801Hz;6.88014
2024-04-07 01:26:19;0:27:54;150;0.8;5;2.0083;0.00793244;0.0872093Hz;394.956
2024-04-06 04:49:02;0:26:33;150;0.95;5;1.67775;0.129972;1.42186Hz;4.51484
