
starttime;duration;leaderSpeed;frameErrorRate;startBraking;value;caccC1;caccOmegaN;caccXi
2024-03-14 04:46:29;0:33:44;30;0;5;0.0753395;0.925786;1.66567Hz;849.908
2024-03-14 05:20:13;0:32:05;30;0.2;5;0.445227;0.299264;1.1371Hz;14.4539
2024-03-14 05:52:18;0:29:42;30;0.4;5;1.15377;0.324273;1.21801Hz;6.88014
2024-03-14 05:59:27;1:21:28;30;0.6;5;8.18687;0.437073;0.285898Hz;846.443
2024-03-14 06:22:00;0:15:18;30;0.8;5;1.88286;0.00192214;1.97378Hz;97.782
2024-03-15 00:09:45;0:10:30;30;0.9;5;1.72521;0.00192214;1.97378Hz;97.782
2024-03-14 06:38:18;0:13:04;30;0.95;5;1.46633;0.0458194;1.90993Hz;17.5721
2024-03-14 06:51:22;0:12:31;30;0.99;5;1.48501;0.0416729;0.408904Hz;857.085
2024-03-14 13:27:46;0:27:54;50;0;5;0.314297;0.966963;1.89229Hz;410.286
2024-03-14 04:19:28;1:39:58;50;0.2;5;1.10719;0.659609;1.59322Hz;852.923
2024-03-14 13:55:40;0:22:30;50;0.4;5;3.18679;0.324273;1.21801Hz;6.88014
2024-03-14 07:20:55;0:56:05;50;0.6;5;3.18672;0.433277;0.00243041Hz;736.852
2024-03-14 07:33:01;0:13:44;50;0.8;5;1.7517;0.00192214;1.97378Hz;97.782
2024-03-15 00:20:15;0:09:54;50;0.9;5;1.58597;0.00192214;1.97378Hz;97.782
2024-03-14 14:22:44;0:09:50;50;0.95;5;1.47011;0.0331813;1.42849Hz;533.027
2024-03-14 08:09:37;0:12:09;50;0.99;5;1.50249;0.863008;1.89812Hz;9.68118
2024-03-14 08:17:00;1:59:25;70;0;5;0.707461;0.874282;1.80706Hz;943.519
2024-03-14 08:21:46;0:31:52;70;0.2;5;2.32927;0.299264;1.1371Hz;14.4539
2024-03-14 08:53:38;0:27:34;70;0.4;5;4.96776;0.862286;1.13363Hz;982.805
2024-03-14 09:21:12;0:22:06;70;0.6;5;3.28528;0.0527661;1.18694Hz;177.416
2024-03-15 00:30:09;0:10:18;70;0.8;5;1.74559;0.00192214;1.97378Hz;97.782
2024-03-14 14:32:59;0:09:58;70;0.9;5;1.5856;0.00192214;1.97378Hz;97.782
2024-03-15 03:47:00;0:09:44;70;0.95;5;1.46945;0.129972;1.42186Hz;4.51484
2024-03-14 10:06:52;0:12:15;70;0.99;5;1.48833;0.889336;0.999041Hz;393.499
2024-03-14 14:45:11;0:27:10;90;0;5;1.29572;0.826159;1.8608Hz;508.471
2024-03-14 10:19:07;0:31:24;90;0.2;5;3.74969;0.299264;1.1371Hz;14.4539
2024-03-14 10:50:31;0:27:09;90;0.4;5;4.51773;0.00542343;1.29322Hz;658.885
2024-03-14 11:17:40;0:22:29;90;0.6;5;3.36275;0.0463695;0.41512Hz;286.63
2024-03-15 05:16:09;0:10:35;90;0.8;5;1.74906;0.00192214;1.97378Hz;97.782
2024-03-14 12:51:06;0:10:05;90;0.9;5;1.5411;0.023599;1.24171Hz;507.719
2024-03-15 00:46:56;0:09:43;90;0.95;5;1.47301;0.129972;1.42186Hz;4.51484
2024-03-17 23:53:40;0:09:49;90;0.99;5;1.49961;0.548124;1.60707Hz;549.513
2024-03-15 01:02:20;0:26:07;110;0;5;1.81704;0.968256;1.53824Hz;868.359
2024-03-14 15:25:24;0:24:12;110;0.2;5;5.45438;0.299264;1.1371Hz;14.4539
2024-03-14 15:49:36;0:20:32;110;0.4;5;5.94778;0.0816724;0.716329Hz;340.766
2024-03-14 16:10:08;0:18:49;110;0.6;5;3.38744;0.0340049;0.148769Hz;482.917
2024-03-15 01:28:27;0:10:37;110;0.8;5;1.75654;0.00793244;0.0872093Hz;394.956
2024-03-15 01:39:04;0:10:08;110;0.9;5;1.58666;0.691969;0.760534Hz;56.7179
2024-03-15 01:49:12;0:09:46;110;0.95;5;1.47582;0.129972;1.42186Hz;4.51484
2024-03-15 01:58:59;0:09:46;110;0.99;5;1.51101;0.984356;0.810408Hz;229.431
2024-03-14 16:44:13;0:27:46;130;0;5;2.58843;0.874282;1.80706Hz;943.519
2024-03-14 17:11:59;0:24:34;130;0.2;5;7.39981;0.299264;1.1371Hz;14.4539
2024-03-14 17:36:33;0:20:46;130;0.4;5;6.48471;0.725856;1.99692Hz;419.552
2024-03-14 17:57:19;0:19:09;130;0.6;5;3.34144;0.0463695;0.41512Hz;286.63
2024-03-15 02:08:45;0:10:22;130;0.8;5;1.7504;0.00192214;1.97378Hz;97.782
2024-03-15 02:19:07;0:10:12;130;0.9;5;1.57332;0.763566;1.0669Hz;9.39979
2024-03-18 00:03:29;0:10:04;130;0.95;5;1.47091;0.129972;1.42186Hz;4.51484
2024-03-14 18:27:28;0:09:49;130;0.99;5;1.49673;0.253607;0.704132Hz;490.481
2024-03-14 18:37:17;0:27:23;150;0;5;3.20711;0.92431;1.72396Hz;906
2024-03-14 19:04:40;0:23:52;150;0.2;5;7.20967;0.492617;1.13873Hz;474.314
2024-03-14 19:28:32;0:21:07;150;0.4;5;4.7289;0.00613458;0.361859Hz;625.785
2024-03-15 02:33:52;0:19:22;150;0.6;5;3.31763;0.099543;0.90381Hz;213.508
2024-03-14 20:02:46;0:10:35;150;0.8;5;1.75603;0.00793244;0.0872093Hz;394.956
2024-03-14 20:13:21;0:09:57;150;0.9;5;1.58685;0.00192214;1.97378Hz;97.782
2024-03-15 04:56:17;0:09:44;150;0.95;5;1.47486;0.129972;1.42186Hz;4.51484
2024-03-15 02:54:01;0:09:36;150;0.99;5;1.50814;0.202617;0.73014Hz;508.538
2024-03-15 03:03:37;0:26:50;170;0;5;3.97617;0.879079;1.00513Hz;832.892
2024-03-14 20:59:37;0:22:39;170;0.2;5;8.97997;0.00613458;0.361859Hz;625.785
2024-03-14 21:22:16;0:21:36;170;0.4;5;6.55783;0.170563;0.470975Hz;378.326
2024-03-14 21:43:52;0:18:55;170;0.6;5;3.3128;0.0527661;1.18694Hz;177.416
2024-03-15 03:30:27;0:10:17;170;0.8;5;1.74772;0.00192214;1.97378Hz;97.782
2024-03-17 23:00:46;0:10:11;170;0.9;5;1.58625;0.00192214;1.97378Hz;97.782
2024-03-14 22:17:38;0:09:58;170;0.95;5;1.47118;0.129972;1.42186Hz;4.51484
2024-03-15 04:01:36;0:09:48;170;0.99;5;1.49391;0.671331;1.54157Hz;238.795
2024-03-15 05:26:44;0:26:53;30;0;5.05;0.0753395;0.925786;1.66567Hz;849.908
2024-03-15 05:53:37;0:24:39;30;0.2;5.05;0.445227;0.299264;1.1371Hz;14.4539
2024-03-15 06:18:16;0:22:56;30;0.4;5.05;1.15377;0.324273;1.21801Hz;6.88014
2024-03-15 06:41:12;0:20:11;30;0.6;5.05;8.18687;0.437073;0.285898Hz;846.443
2024-03-15 07:01:23;0:11:58;30;0.8;5.05;1.88286;0.00192214;1.97378Hz;97.782
2024-03-15 07:13:21;0:10:10;30;0.9;5.05;1.72521;0.00192214;1.97378Hz;97.782
2024-03-16 04:59:47;0:09:44;30;0.95;5.05;1.46633;0.0458194;1.90993Hz;17.5721
2024-03-16 05:09:31;0:09:35;30;0.99;5.05;1.48501;0.0416729;0.408904Hz;857.085
2024-03-15 07:27:23;0:26:51;30;0;5.01;0.0753395;0.925786;1.66567Hz;849.908
2024-03-15 07:54:14;0:25:11;30;0.2;5.01;0.445227;0.299264;1.1371Hz;14.4539
2024-03-16 05:19:07;0:22:21;30;0.4;5.01;1.15377;0.324273;1.21801Hz;6.88014
2024-03-15 16:57:54;0:20:06;30;0.6;5.01;7.11549;0.566501;1.54041Hz;77.5262
2024-03-17 23:10:57;0:12:12;30;0.8;5.01;1.88286;0.00192214;1.97378Hz;97.782
2024-03-15 17:25:53;0:10:07;30;0.9;5.01;1.72521;0.00192214;1.97378Hz;97.782
2024-03-15 17:36:00;0:09:58;30;0.95;5.01;1.46633;0.0458194;1.90993Hz;17.5721
2024-03-17 23:23:09;0:09:37;30;0.99;5.01;1.48501;0.0416729;0.408904Hz;857.085
2024-03-16 05:41:28;0:26:35;50;0;5.05;0.314297;0.966963;1.89229Hz;410.286
2024-03-15 18:19:56;0:24:26;50;0.2;5.05;1.10719;0.659609;1.59322Hz;852.923
2024-03-15 18:44:22;0:21:56;50;0.4;5.05;3.18679;0.324273;1.21801Hz;6.88014
2024-03-15 19:06:18;0:17:37;50;0.6;5.05;3.18672;0.433277;0.00243041Hz;736.852
2024-03-15 19:23:55;0:10:48;50;0.8;5.05;1.7517;0.00192214;1.97378Hz;97.782
2024-03-15 19:34:43;0:09:54;50;0.9;5.05;1.58597;0.00192214;1.97378Hz;97.782
2024-03-18 03:59:54;0:09:48;50;0.95;5.05;1.47395;0.129972;1.42186Hz;4.51484
2024-03-15 19:49:42;0:09:34;50;0.99;5.05;1.50249;0.367639;1.942Hz;24.8935
2024-03-15 19:59:17;0:26:30;50;0;5.01;0.314297;0.966963;1.89229Hz;410.286
2024-03-16 06:11:03;0:25:02;50;0.2;5.01;1.10719;0.659609;1.59322Hz;852.923
2024-03-15 20:49:57;0:22:04;50;0.4;5.01;3.18679;0.324273;1.21801Hz;6.88014
2024-03-18 18:35:08;0:17:43;50;0.6;5.01;3.07627;0.668391;0.249438Hz;334.229
2024-03-15 21:27:29;0:10:42;50;0.8;5.01;1.7517;0.00192214;1.97378Hz;97.782
2024-03-15 21:38:11;0:09:50;50;0.9;5.01;1.58597;0.00192214;1.97378Hz;97.782
2024-03-16 06:53:35;0:10:02;50;0.95;5.01;1.47395;0.129972;1.42186Hz;4.51484
2024-03-15 21:56:44;0:09:33;50;0.99;5.01;1.50249;0.657099;0.696567Hz;539.356
2024-03-15 22:06:18;0:26:27;70;0;5.05;0.707461;0.874282;1.80706Hz;943.519
2024-03-15 22:32:45;0:24:00;70;0.2;5.05;2.32927;0.299264;1.1371Hz;14.4539
2024-03-15 22:56:45;0:21:05;70;0.4;5.05;4.96776;0.862286;1.13363Hz;982.805
2024-03-18 00:31:18;0:17:34;70;0.6;5.05;3.28528;0.0527661;1.18694Hz;177.416
2024-03-15 23:35:56;0:10:33;70;0.8;5.05;1.74559;0.00192214;1.97378Hz;97.782
2024-03-18 04:09:42;0:09:54;70;0.9;5.05;1.5856;0.00192214;1.97378Hz;97.782
2024-03-16 19:20:30;0:09:46;70;0.95;5.05;1.46945;0.129972;1.42186Hz;4.51484
2024-03-16 19:30:16;0:09:48;70;0.99;5.05;1.48833;0.889336;0.999041Hz;393.499
2024-03-15 23:54:54;0:26:41;70;0;5.01;0.707461;0.874282;1.80706Hz;943.519
2024-03-16 00:21:35;0:24:43;70;0.2;5.01;2.32927;0.299264;1.1371Hz;14.4539
2024-03-16 00:46:18;0:21:33;70;0.4;5.01;4.96776;0.862286;1.13363Hz;982.805
2024-03-16 01:07:51;0:17:27;70;0.6;5.01;3.28528;0.0527661;1.18694Hz;177.416
2024-03-16 01:25:18;0:10:15;70;0.8;5.01;1.74559;0.00192214;1.97378Hz;97.782
2024-03-16 19:40:05;0:09:50;70;0.9;5.01;1.58295;0.104867;0.307542Hz;913.348
2024-03-16 01:45:25;0:10:06;70;0.95;5.01;1.46945;0.129972;1.42186Hz;4.51484
2024-03-18 04:19:36;0:09:34;70;0.99;5.01;1.48833;0.889336;0.999041Hz;393.499
2024-03-16 02:04:01;0:26:40;90;0;5.05;1.52185;0.997064;1.80353Hz;853.914
2024-03-16 02:30:41;0:24:41;90;0.2;5.05;2.69032;0.458363;0.10588Hz;352.908
2024-03-16 02:55:22;0:21:36;90;0.4;5.05;4.51773;0.00542343;1.29322Hz;658.885
