
starttime;duration;leaderSpeed;frameErrorRate;startBraking;value;crashed;flatbedKa;flatbedKv;flatbedKp;flatbedH
2024-04-01 02:10:19;0:26:39;30;0;5;0.0273741;0;47.1421;436.548;676.837;3.84784
2024-04-01 02:10:33;1:26:59;30;0.2;5;0.177024;0;69.245;632.768;660.835;1.14578
2024-04-01 02:36:58;0:22:18;30;0.4;5;1.00033;0;3.48837;394.35;894.637;0.295258
2024-04-01 02:59:17;0:20:18;30;0.6;5;4.29093;0;76.5253;330.204;887.533;0.508948
2024-04-02 03:44:14;0:12:38;30;0.8;5;3.95558;6.6;57.9579;604.3;763.175;12.6077
2024-04-01 03:32:23;0:10:30;30;0.9;5;3.41053;7.14;70.2967;365.599;909.655;18.9803
2024-04-01 03:37:32;0:23:51;30;0.95;5;2.67317;6.52;16.6336;892.176;672.749;1.50306
2024-04-01 03:42:53;0:09:35;30;0.99;5;1.48503;6.43;54.8615;616.317;591.052;6.54525
2024-04-01 03:52:28;0:27:00;30;0;5.01;0.0304993;0;60.7506;677.329;630.131;16.2863
2024-04-01 04:01:23;1:28:22;30;0.2;5.01;0.147;0;69.245;632.768;660.835;1.14578
2024-04-01 04:19:28;0:22:40;30;0.4;5.01;1.00035;0;52.8384;423.849;505.582;0.651971
2024-04-01 04:42:08;0:20:33;30;0.6;5.01;4.20722;0;76.5253;330.204;887.533;0.508948
2024-04-01 05:02:41;0:12:32;30;0.8;5.01;4.32633;6.6;14.7641;950.711;677.634;18.6206
2024-04-01 05:15:13;0:10:47;30;0.9;5.01;3.42436;6.94;17.4948;607.842;595.582;8.15527
2024-04-02 03:56:53;0:10:31;30;0.95;5.01;2.60785;6.53;16.6336;892.176;672.749;1.50306
2024-04-02 04:07:24;0:09:51;30;0.99;5.01;1.43859;6.44;35.7939;110.464;707.205;7.51076
2024-04-02 04:17:15;0:26:27;30;0;5.05;0.00820052;0;4.51217;122.675;566.837;17.2291
2024-04-01 05:52:21;1:27:33;30;0.2;5.05;0.163841;0;10.7256;459.81;734.353;0.811733
2024-04-01 06:03:06;0:22:51;30;0.4;5.05;1.1398;0;3.48837;394.35;894.637;0.295258
2024-04-01 06:25:57;0:20:44;30;0.6;5.05;3.98805;0;76.5253;330.204;887.533;0.508948
2024-04-02 04:23:28;0:36:29;30;0.8;5.05;4.94912;6.66;21.4106;999.665;618.507;10.3071
2024-04-01 06:53:28;0:10:45;30;0.9;5.05;1.90897;6.91;70.9405;749.628;981.068;14.5362
2024-04-01 07:04:13;0:10:01;30;0.95;5.05;2.12067;6.59;18.3051;930.813;503.478;0.537243
2024-04-01 07:14:14;0:09:55;30;0.99;5.05;1.71214;6.48;3.48837;394.35;894.637;0.295258
2024-04-01 07:19:54;1:36:52;50;0;5;0.207374;0;77.8602;151.519;598.736;13.1529
2024-04-01 07:24:09;0:24:34;50;0.2;5;0.587381;0;72.4102;485.307;616.27;0.963234
2024-04-01 07:48:43;0:21:34;50;0.4;5;2.64567;0;45.0481;858.817;670.836;0.666237
2024-04-01 08:10:17;0:17:11;50;0.6;5;3.29528;0;10.3917;468.968;829.428;1.75941
2024-04-01 08:27:28;0:10:48;50;0.8;5;2.54434;6.61;76.7288;13.5355;875.803;13.304
2024-04-01 08:38:16;0:10:18;50;0.9;5;2.57415;6.86;46.7789;570.398;622.085;6.69338
2024-04-01 08:48:34;0:09:47;50;0.95;5;2.28746;6.44;16.6534;601.6;683.82;19.42
2024-04-01 08:56:46;0:23:08;50;0.99;5;1.50248;6.43;3.48837;394.35;894.637;0.295258
2024-04-01 08:58:21;0:26:51;50;0;5.01;0.0742278;0;66.1637;279.715;797.702;6.53134
2024-04-02 04:43:42;0:24:38;50;0.2;5.01;0.546011;0;16.5127;472.463;909.41;0.784878
2024-04-01 09:25:12;0:21:26;50;0.4;5.01;2.87505;0;49.1326;815.732;751.016;0.857822
2024-04-01 09:46:38;0:16:58;50;0.6;5.01;3.23804;0;49.861;519.607;818.746;2.65276
2024-04-02 04:59:57;0:33:06;50;0.8;5.01;3.3825;6.6;1.95453;615.572;539.315;17.1769
2024-04-01 10:08:59;0:11:05;50;0.9;5.01;3.33207;6.85;17.5112;960.652;964.253;9.5784
2024-04-02 05:08:20;0:10:07;50;0.95;5.01;2.14639;6.48;62.5859;544.537;980.766;4.41233
2024-04-01 10:28:54;0:09:51;50;0.99;5.01;1.45395;6.44;3.48837;394.35;894.637;0.295258
