
starttime;duration;leaderSpeed;frameErrorRate;startBraking;value;crashed;ploegKp;ploegKd
2024-03-25 02:04:34;1:24:34;30;0;5.01;2.60444;0;96948.6;48599.8
2024-03-25 02:04:51;0:51:09;30;0.2;5.01;2.75122;0;96037.8;53118.7
2024-03-25 02:56:00;0:22:12;30;0.4;5.01;2.78923;0;85775.5;46890.9
2024-03-26 17:23:31;0:19:27;30;0.6;5.01;2.92849;0;96496;54691.7
2024-03-25 03:29:08;0:54:07;30;0.8;5.01;3.90346;0;88118.7;73048.5
2024-03-26 17:26:42;0:44:14;30;0.9;5.01;6.5487;0;79902.1;86880.1
2024-03-25 04:23:15;0:35:34;30;0.95;5.01;10.8964;0;64149.4;34864.2
2024-03-26 17:42:58;0:09:50;30;0.99;5.01;28.9075;6.58;17056.3;23548.8
2024-03-26 17:52:48;0:26:09;30;0;5.05;2.60529;0;96948.6;48599.8
2024-03-25 04:58:49;1:14:42;30;0.2;5.05;2.68929;0;73483.4;32719.4
2024-03-25 05:24:27;0:22:50;30;0.4;5.05;2.78987;0;83200.4;46179.9
2024-03-26 18:10:56;1:01:12;30;0.6;5.05;2.92891;0;96496;54691.7
2024-03-25 05:53:27;0:18:56;30;0.8;5.05;3.90526;0;88118.7;73048.5
2024-03-26 18:18:57;0:16:26;30;0.9;5.05;6.56408;0;79902.1;86880.1
2024-03-25 06:13:31;0:34:02;30;0.95;5.05;16.17;7.74;41140.3;89135.6
2024-03-25 06:14:50;0:10:04;30;0.99;5.05;28.2302;6.62;18463;74804
2024-03-25 06:24:54;0:27:38;50;0;5.01;1.0799;6.77;3837.6;1883.47
2024-03-25 06:47:33;1:13:30;50;0.2;5.01;1.15187;6.77;3837.6;1883.47
2024-03-25 06:52:33;0:23:17;50;0.4;5.01;1.17655;6.77;3837.6;1883.47
2024-03-25 07:15:50;0:21:15;50;0.6;5.01;1.25578;6.71;3837.6;1883.47
2024-03-25 07:37:06;0:19:16;50;0.8;5.01;1.46283;6.77;95129.8;43692.2
2024-03-26 22:48:16;0:16:20;50;0.9;5.01;3.02444;0;60387.6;72062.1
2024-03-25 08:01:03;8:49:02;50;0.95;5.01;10.4109;7.83;19950.1;84899.3
2024-03-25 16:34:36;0:09:47;50;0.99;5.01;15.0843;6.82;20752.2;33895.2
2024-03-25 16:44:23;0:25:51;50;0;5.05;1.08008;6.85;3837.6;1883.47
