event	time	node	configname	*.prio	acceleration	controllerAcceleration	distance	nodeId	posx	posy	relativeSpeed	speed
117	1.11	Highway.node[4].appl	BrakingNoGui		0.0	0.0	5.0	4	36.6901	242.45	0.0	13.89
663	1.21	Highway.node[4].appl	BrakingNoGui		0.0	0.0	5.0	4	38.0791	242.45	-2.56615e-06	13.89
1209	1.31	Highway.node[4].appl	BrakingNoGui		-0.00027182	-0.00181781	5.0	4	39.4681	242.45	-9.44195e-06	13.89
1755	1.41	Highway.node[4].appl	BrakingNoGui		-0.00054997	-0.00165979	5.0	4	40.8571	242.45	-1.33675e-05	13.8899
2301	1.51	Highway.node[4].appl	BrakingNoGui		-0.000788006	-0.00197373	5.0	4	42.2461	242.45	-1.43011e-05	13.8899
2847	1.61	Highway.node[4].appl	BrakingNoGui		-0.000927295	-0.0012421	5.0	4	43.6351	242.45	-1.25741e-05	13.8898
3393	1.71	Highway.node[4].appl	BrakingNoGui		-0.000961195	-0.00112206	4.99999	4	45.024	242.45	-9.16992e-06	13.8897
3939	1.81	Highway.node[4].appl	BrakingNoGui		-0.000986566	-0.00109223	4.99999	4	46.413	242.45	-4.91862e-06	13.8896
4485	1.91	Highway.node[4].appl	BrakingNoGui		-0.000932313	-0.000326862	4.99999	4	47.802	242.45	-1.38915e-07	13.8895
5039	2.01	Highway.node[4].appl	BrakingNoGui		-0.000797857	-0.00021703	4.99999	4	49.1909	242.45	4.31437e-06	13.8894
5585	2.11	Highway.node[4].appl	BrakingNoGui		-0.00070536	-0.000347388	4.99999	4	50.5798	242.45	7.9876e-06	13.8893
6131	2.21	Highway.node[4].appl	BrakingNoGui		-0.000602698	0.000123871	5.0	4	51.9688	242.45	1.04184e-05	13.8893
6677	2.31	Highway.node[4].appl	BrakingNoGui		-0.000459103	5.29131e-05	5.0	4	53.3577	242.45	1.0657e-05	13.8892
7223	2.41	Highway.node[4].appl	BrakingNoGui		-0.000419562	-0.000404632	5.0	4	54.7466	242.45	9.56352e-06	13.8892
7769	2.51	Highway.node[4].appl	BrakingNoGui		-0.000384974	-5.20134e-05	5.0	4	56.1355	242.45	7.22819e-06	13.8891
8315	2.61	Highway.node[4].appl	BrakingNoGui		-0.000371947	-0.000501954	5.0	4	57.5244	242.45	4.10386e-06	13.8891
8861	2.71	Highway.node[4].appl	BrakingNoGui		-0.000367379	-0.000186161	5.0	4	58.9134	242.45	8.59196e-07	13.8891
9407	2.81	Highway.node[4].appl	BrakingNoGui		-0.00028098	0.000247365	5.0	4	60.3023	242.45	-2.20193e-06	13.889
9953	2.91	Highway.node[4].appl	BrakingNoGui		-0.000239029	-0.0002881	5.0	4	61.6912	242.45	-4.28105e-06	13.889
10507	3.01	Highway.node[4].appl	BrakingNoGui		-0.000236979	-0.000118332	5.0	4	63.0801	242.45	-5.14042e-06	13.889
11053	3.11	Highway.node[4].appl	BrakingNoGui		-0.000182544	0.000158136	5.0	4	64.469	242.45	-5.15561e-06	13.889
11599	3.21	Highway.node[4].appl	BrakingNoGui		-0.000158499	-0.000324118	5.0	4	65.8579	242.45	-4.4685e-06	13.8889
12145	3.31	Highway.node[4].appl	BrakingNoGui		-0.000219915	-0.000408084	5.0	4	67.2467	242.45	-2.95846e-06	13.8889
12691	3.41	Highway.node[4].appl	BrakingNoGui		-0.000235619	-0.000210407	5.0	4	68.6356	242.45	-1.50582e-06	13.8889
13237	3.51	Highway.node[4].appl	BrakingNoGui		-0.00019718	6.31276e-05	5.0	4	70.0245	242.45	7.26562e-08	13.8889
13783	3.61	Highway.node[4].appl	BrakingNoGui		-0.000118704	0.000298712	5.0	4	71.4134	242.45	1.60147e-06	13.8889
14329	3.71	Highway.node[4].appl	BrakingNoGui		-2.20749e-05	0.000445419	5.0	4	72.8023	242.45	2.80122e-06	13.8889
14875	3.81	Highway.node[4].appl	BrakingNoGui		7.00149e-05	0.000484168	5.0	4	74.1912	242.45	3.4492e-06	13.8889
15421	3.91	Highway.node[4].appl	BrakingNoGui		0.000138824	0.000420593	5.0	4	75.5801	242.45	3.44417e-06	13.8889
15975	4.01	Highway.node[4].appl	BrakingNoGui		0.000172865	0.000280551	5.0	4	76.969	242.45	2.8318e-06	13.8889
16521	4.11	Highway.node[4].appl	BrakingNoGui		0.000169279	0.000102113	5.0	4	78.3578	242.45	1.78742e-06	13.8889
17067	4.21	Highway.node[4].appl	BrakingNoGui		0.000133268	-7.38531e-05	5.0	4	79.7467	242.45	5.6532e-07	13.8889
17613	4.31	Highway.node[4].appl	BrakingNoGui		7.59655e-05	-0.000212356	5.0	4	81.1356	242.45	-5.68173e-07	13.8889
18159	4.41	Highway.node[4].appl	BrakingNoGui		1.13913e-05	-0.00029059	5.0	4	82.5245	242.45	-1.39833e-06	13.8889
18705	4.51	Highway.node[4].appl	BrakingNoGui		-4.67694e-05	-0.000300903	5.0	4	83.9134	242.45	-1.8062e-06	13.8889
19251	4.61	Highway.node[4].appl	BrakingNoGui		-8.78825e-05	-0.000250301	5.0	4	85.3023	242.45	-1.78427e-06	13.8889
19797	4.71	Highway.node[4].appl	BrakingNoGui		-0.000106103	-0.000157066	5.0	4	86.6912	242.45	-1.42291e-06	13.8889
20343	4.81	Highway.node[4].appl	BrakingNoGui		-0.000100914	-4.55709e-05	5.0	4	88.0801	242.45	-8.74595e-07	13.8889
20889	4.91	Highway.node[4].appl	BrakingNoGui		-7.65311e-05	5.94213e-05	5.0	4	89.469	242.45	-3.07548e-07	13.8889
21444	5.01	Highway.node[4].appl	BrakingNoGui		-4.04281e-05	0.00013776	5.0	4	90.8579	242.45	1.38246e-07	13.8889
21990	5.11	Highway.node[4].appl	BrakingNoGui		-0.631375	-6.75595	5.0	4	92.2464	242.45	3.81946e-07	13.8698
22536	5.21	Highway.node[4].appl	BrakingNoGui		-2.04868	-8.80592	5.00013	4	93.6274	242.45	0.00246412	13.7278
23082	5.31	Highway.node[4].appl	BrakingNoGui		-3.40023	-9.72351	5.00048	4	94.9873	242.45	0.00405114	13.4473
23628	5.41	Highway.node[4].appl	BrakingNoGui		-4.60407	-10.1107	5.00089	4	96.3126	242.45	0.00396138	13.0394
24174	5.51	Highway.node[4].appl	BrakingNoGui		-5.60177	-10.0416	5.00125	4	97.5915	242.45	0.003113	12.5223
24720	5.61	Highway.node[4].appl	BrakingNoGui		-6.36596	-9.65054	5.00151	4	98.8142	242.45	0.00192977	11.9182
25266	5.71	Highway.node[4].appl	BrakingNoGui		-6.8927	-9.04969	5.00164	4	99.973	242.45	0.000831673	11.251
25812	5.81	Highway.node[4].appl	BrakingNoGui		-7.20169	-8.36636	5.00169	4	101.063	242.45	0.000131215	10.5433
26358	5.91	Highway.node[4].appl	BrakingNoGui		-7.33241	-7.72415	5.00168	4	102.081	242.45	-2.71874e-05	9.81504
26912	6.01	Highway.node[4].appl	BrakingNoGui		-7.33724	-7.22235	5.00169	4	103.026	242.45	0.000327345	9.08102
27458	6.11	Highway.node[4].appl	BrakingNoGui		-7.27279	-6.9209	5.00176	4	103.897	242.45	0.00102528	8.35072
28004	6.21	Highway.node[4].appl	BrakingNoGui		-7.19146	-6.83929	5.0019	4	104.696	242.45	0.00181751	7.62811
28550	6.31	Highway.node[4].appl	BrakingNoGui		-7.13495	-6.95822	5.00212	4	105.423	242.45	0.00244932	6.91247
29096	6.41	Highway.node[4].appl	BrakingNoGui		-7.13006	-7.22843	5.00238	4	106.079	242.45	0.00272541	6.19971
29642	6.51	Highway.node[4].appl	BrakingNoGui		-7.18735	-7.58362	5.00265	4	106.663	242.45	0.00255304	5.48398
30188	6.61	Highway.node[4].appl	BrakingNoGui		-7.30258	-7.95328	5.00288	4	107.175	242.45	0.0019573	4.75922
30734	6.71	Highway.node[4].appl	BrakingNoGui		-7.46012	-8.2751	5.00303	4	107.614	242.45	0.00106662	4.02043
31280	6.81	Highway.node[4].appl	BrakingNoGui		-7.63768	-8.50398	5.00309	4	107.979	242.45	7.61519e-05	3.26461
31826	6.91	Highway.node[4].appl	BrakingNoGui		-7.81133	-8.61651	5.00305	4	108.267	242.45	-0.000800402	2.4911
32380	7.01	Highway.node[4].appl	BrakingNoGui		-7.95991	-8.61173	5.00294	4	108.477	242.45	-0.00138005	1.70148
32926	7.11	Highway.node[4].appl	BrakingNoGui		-8.06834	-8.50809	5.00279	4	108.607	242.45	-0.00154825	0.899162
33472	7.21	Highway.node[4].appl	BrakingNoGui		-8.1294	-8.33725	5.00265	4	108.656	242.45	-0.00127962	0.0886163
34018	7.31	Highway.node[4].appl	BrakingNoGui		0.0	0.0	5.00263	4	108.657	242.45	0.0	0.0
34564	7.41	Highway.node[4].appl	BrakingNoGui		0.0	2.2904e-06	5.00263	4	108.657	242.45	0.0	0.0
35110	7.51	Highway.node[4].appl	BrakingNoGui		0.0	2.65195e-06	5.00263	4	108.657	242.45	0.0	0.0
35656	7.61	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
36202	7.71	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
36748	7.81	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
37294	7.91	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
37848	8.01	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
38394	8.11	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
38940	8.21	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
39486	8.31	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
40032	8.41	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
40578	8.51	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
41124	8.61	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
41670	8.71	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
42216	8.81	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
42762	8.91	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
43316	9.01	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
43862	9.11	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
44408	9.21	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
44954	9.31	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
45500	9.41	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
46046	9.51	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
46592	9.61	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
47138	9.71	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
47684	9.81	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
48230	9.91	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
48784	10.01	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
49330	10.11	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
49876	10.21	Highway.node[4].appl	BrakingNoGui		0.0	3.38571e-06	5.00263	4	108.657	242.45	0.0	0.0
