event	time	node	configname	*.prio	acceleration	controllerAcceleration	distance	nodeId	posx	posy	relativeSpeed	speed
100176	19.41	Highway.node[0].appl	BrakingNoGui		0	0	-1	0	144.724	242.45	0	0
100177	19.41	Highway.node[1].appl	BrakingNoGui		-3.59986e-05	-8.08716e-06	5.00018	1	135.724	242.45	-8.42407e-05	8.42407e-05
100178	19.41	Highway.node[2].appl	BrakingNoGui		-0.000202181	-0.000158189	5.0009	2	126.723	242.45	-0.00036582	0.000450061
100179	19.41	Highway.node[3].appl	BrakingNoGui		-0.000412359	-0.000381718	5.00238	3	117.72	242.45	-0.000789235	0.0012393
100180	19.41	Highway.node[4].appl	BrakingNoGui		-0.000628153	-0.00055986	5.00447	4	108.716	242.45	-0.00115348	0.00239278
100181	19.41	Highway.node[5].appl	BrakingNoGui		-0.000741786	-0.000689678	5.00664	5	99.7094	242.45	-0.00127393	0.00366671
100182	19.41	Highway.node[6].appl	BrakingNoGui		-0.000655751	-0.000674675	5.00832	6	90.7011	242.45	-0.00105592	0.00472263
100183	19.41	Highway.node[7].appl	BrakingNoGui		-0.000376893	-0.000466856	5.00904	7	81.692	242.45	-0.000546276	0.00526891
100722	19.51	Highway.node[0].appl	BrakingNoGui		0	0	-1	0	144.724	242.45	0	0
100723	19.51	Highway.node[1].appl	BrakingNoGui		-3.1258e-05	-1.1126e-05	5.00017	1	135.724	242.45	-8.09146e-05	8.09146e-05
100724	19.51	Highway.node[2].appl	BrakingNoGui		-0.000192292	-0.000138976	5.00086	2	126.723	242.45	-0.000349457	0.000430371
100725	19.51	Highway.node[3].appl	BrakingNoGui		-0.000405755	-0.000373047	5.0023	3	117.721	242.45	-0.000768052	0.00119842
100726	19.51	Highway.node[4].appl	BrakingNoGui		-0.000615302	-0.000555589	5.00435	4	108.716	242.45	-0.00113226	0.00233068
100727	19.51	Highway.node[5].appl	BrakingNoGui		-0.000731357	-0.000678703	5.00652	5	99.7097	242.45	-0.00126242	0.0035931
100728	19.51	Highway.node[6].appl	BrakingNoGui		-0.000658446	-0.000670291	5.00822	6	90.7015	242.45	-0.0010638	0.0046569
100729	19.51	Highway.node[7].appl	BrakingNoGui		-0.000394664	-0.000482204	5.00899	7	81.6925	242.45	-0.000573334	0.00523024
101268	19.61	Highway.node[0].appl	BrakingNoGui		0	0	-1	0	144.724	242.45	0	0
101269	19.61	Highway.node[1].appl	BrakingNoGui		-2.8124e-05	-1.6068e-05	5.00017	1	135.724	242.45	-7.79745e-05	7.79745e-05
101270	19.61	Highway.node[2].appl	BrakingNoGui		-0.000180957	-0.000121962	5.00083	2	126.723	242.45	-0.000333782	0.000411756
101271	19.61	Highway.node[3].appl	BrakingNoGui		-0.00039838	-0.000360528	5.00223	3	117.721	242.45	-0.000746491	0.00115825
101272	19.61	Highway.node[4].appl	BrakingNoGui		-0.000603959	-0.000551384	5.00424	4	108.716	242.45	-0.00111155	0.00226979
101273	19.61	Highway.node[5].appl	BrakingNoGui		-0.000721004	-0.000669538	5.00639	5	99.7101	242.45	-0.00125074	0.00352054
101274	19.61	Highway.node[6].appl	BrakingNoGui		-0.000659826	-0.000665343	5.00811	6	90.702	242.45	-0.00107044	0.00459098
101275	19.61	Highway.node[7].appl	BrakingNoGui		-0.000411621	-0.000493764	5.00893	7	81.6931	242.45	-0.000598851	0.00518983
101814	19.71	Highway.node[0].appl	BrakingNoGui		0	0	-1	0	144.724	242.45	0	0
101815	19.71	Highway.node[1].appl	BrakingNoGui		-2.65412e-05	-2.18419e-05	5.00016	1	135.724	242.45	-7.52612e-05	7.52612e-05
