Iterations; Iterationswithoutimprovement; Evaluations;caccC1; caccOmegaN; caccXi
1; 1; 4;0.958502; 0.307834; 261.822
2; 0; 4;0.958502; 0.307834; 261.822
2; 0; 8;0.958502; 0.307834; 261.822
2; 0; 8;0.958502; 0.307834; 261.822
3; 1; 8;0.958502; 0.307834; 261.822
3; 1; 12;0.958502; 0.307834; 261.822
3; 1; 12;0.958502; 0.307834; 261.822
4; 2; 12;0.958502; 0.307834; 261.822
4; 2; 16;0.958502; 0.307834; 261.822
4; 2; 16;0.762847; 1.85488; 65.1482
5; 0; 16;0.762847; 1.85488; 65.1482
5; 0; 20;0.762847; 1.85488; 65.1482
5; 0; 20;0.762847; 1.85488; 65.1482
6; 1; 20;0.762847; 1.85488; 65.1482
6; 1; 24;0.762847; 1.85488; 65.1482
6; 1; 24;0.762847; 1.85488; 65.1482
7; 2; 24;0.762847; 1.85488; 65.1482
7; 2; 28;0.762847; 1.85488; 65.1482
7; 2; 28;0.762847; 1.85488; 65.1482
8; 3; 28;0.762847; 1.85488; 65.1482
8; 3; 32;0.762847; 1.85488; 65.1482
8; 3; 32;0.762847; 1.85488; 65.1482
9; 4; 32;0.762847; 1.85488; 65.1482
9; 4; 36;0.762847; 1.85488; 65.1482
9; 4; 36;0.762847; 1.85488; 65.1482
10; 5; 36;0.762847; 1.85488; 65.1482
10; 5; 40;0.762847; 1.85488; 65.1482
10; 5; 40;0.84232; 0.0142513; 115.345
11; 0; 40;0.84232; 0.0142513; 115.345
11; 0; 44;0.84232; 0.0142513; 115.345
11; 0; 44;0.84232; 0.0142513; 115.345
12; 1; 44;0.84232; 0.0142513; 115.345
12; 1; 48;0.84232; 0.0142513; 115.345
12; 1; 48;0.84232; 0.0142513; 115.345
13; 2; 48;0.84232; 0.0142513; 115.345
13; 2; 52;0.84232; 0.0142513; 115.345
13; 2; 52;0.84232; 0.0142513; 115.345
14; 3; 52;0.84232; 0.0142513; 115.345
14; 3; 56;0.84232; 0.0142513; 115.345
14; 3; 56;0.84232; 0.0142513; 115.345
15; 4; 56;0.84232; 0.0142513; 115.345
15; 4; 60;0.84232; 0.0142513; 115.345
15; 4; 60;0.84232; 0.0142513; 115.345
16; 5; 60;0.84232; 0.0142513; 115.345
16; 5; 64;0.84232; 0.0142513; 115.345
16; 5; 64;0.84232; 0.0142513; 115.345
17; 6; 64;0.84232; 0.0142513; 115.345
17; 6; 68;0.84232; 0.0142513; 115.345
17; 6; 68;0.84232; 0.0142513; 115.345
18; 7; 68;0.84232; 0.0142513; 115.345
18; 7; 72;0.84232; 0.0142513; 115.345
18; 7; 72;0.84232; 0.0142513; 115.345
19; 8; 72;0.84232; 0.0142513; 115.345
19; 8; 76;0.84232; 0.0142513; 115.345
19; 8; 76;0.84232; 0.0142513; 115.345
20; 9; 76;0.84232; 0.0142513; 115.345
20; 9; 80;0.84232; 0.0142513; 115.345
20; 9; 80;0.84232; 0.0142513; 115.345
21; 10; 80;0.84232; 0.0142513; 115.345
21; 10; 84;0.84232; 0.0142513; 115.345
21; 10; 84;0.84232; 0.0142513; 115.345
22; 11; 84;0.84232; 0.0142513; 115.345
22; 11; 88;0.84232; 0.0142513; 115.345
22; 11; 88;0.84232; 0.0142513; 115.345
23; 12; 88;0.84232; 0.0142513; 115.345
23; 12; 92;0.84232; 0.0142513; 115.345
23; 12; 92;0.84232; 0.0142513; 115.345
24; 13; 92;0.84232; 0.0142513; 115.345
24; 13; 96;0.84232; 0.0142513; 115.345
24; 13; 96;0.84232; 0.0142513; 115.345
25; 14; 96;0.84232; 0.0142513; 115.345
25; 14; 100;0.84232; 0.0142513; 115.345
25; 14; 100;0.84232; 0.0142513; 115.345
26; 15; 100;0.84232; 0.0142513; 115.345
26; 15; 104;0.84232; 0.0142513; 115.345
26; 15; 104;0.84232; 0.0142513; 115.345
27; 16; 104;0.84232; 0.0142513; 115.345
27; 16; 108;0.84232; 0.0142513; 115.345
27; 16; 108;0.84232; 0.0142513; 115.345
28; 17; 108;0.84232; 0.0142513; 115.345
28; 17; 112;0.84232; 0.0142513; 115.345
28; 17; 112;0.84232; 0.0142513; 115.345
29; 18; 112;0.84232; 0.0142513; 115.345
29; 18; 116;0.84232; 0.0142513; 115.345
29; 18; 116;0.84232; 0.0142513; 115.345
30; 19; 116;0.84232; 0.0142513; 115.345
30; 19; 120;0.84232; 0.0142513; 115.345
30; 19; 120;0.84232; 0.0142513; 115.345
31; 20; 120;0.84232; 0.0142513; 115.345
31; 20; 124;0.84232; 0.0142513; 115.345
31; 20; 124;0.84232; 0.0142513; 115.345
32; 21; 124;0.84232; 0.0142513; 115.345
32; 21; 128;0.84232; 0.0142513; 115.345
32; 21; 128;0.84232; 0.0142513; 115.345
33; 22; 128;0.84232; 0.0142513; 115.345
33; 22; 132;0.84232; 0.0142513; 115.345
33; 22; 132;0.84232; 0.0142513; 115.345
34; 23; 132;0.84232; 0.0142513; 115.345
34; 23; 136;0.84232; 0.0142513; 115.345
34; 23; 136;0.84232; 0.0142513; 115.345
35; 24; 136;0.84232; 0.0142513; 115.345
35; 24; 140;0.84232; 0.0142513; 115.345
35; 24; 140;0.84232; 0.0142513; 115.345
36; 25; 140;0.84232; 0.0142513; 115.345
36; 25; 144;0.84232; 0.0142513; 115.345
36; 25; 144;0.84232; 0.0142513; 115.345
37; 26; 144;0.84232; 0.0142513; 115.345
37; 26; 148;0.84232; 0.0142513; 115.345
37; 26; 148;0.84232; 0.0142513; 115.345
38; 27; 148;0.84232; 0.0142513; 115.345
38; 27; 152;0.84232; 0.0142513; 115.345
38; 27; 152;0.84232; 0.0142513; 115.345
39; 28; 152;0.84232; 0.0142513; 115.345
39; 28; 156;0.84232; 0.0142513; 115.345
39; 28; 156;0.84232; 0.0142513; 115.345
40; 29; 156;0.84232; 0.0142513; 115.345
40; 29; 160;0.84232; 0.0142513; 115.345
40; 29; 160;0.84232; 0.0142513; 115.345
41; 30; 160;0.84232; 0.0142513; 115.345
41; 30; 164;0.84232; 0.0142513; 115.345
41; 30; 164;0.84232; 0.0142513; 115.345
42; 31; 164;0.84232; 0.0142513; 115.345
42; 31; 168;0.84232; 0.0142513; 115.345
42; 31; 168;0.84232; 0.0142513; 115.345
43; 32; 168;0.84232; 0.0142513; 115.345
43; 32; 172;0.84232; 0.0142513; 115.345
43; 32; 172;0.84232; 0.0142513; 115.345
44; 33; 172;0.84232; 0.0142513; 115.345
44; 33; 176;0.84232; 0.0142513; 115.345
44; 33; 176;0.84232; 0.0142513; 115.345
45; 34; 176;0.84232; 0.0142513; 115.345
45; 34; 180;0.84232; 0.0142513; 115.345
45; 34; 180;0.84232; 0.0142513; 115.345
46; 35; 180;0.84232; 0.0142513; 115.345
46; 35; 184;0.84232; 0.0142513; 115.345
46; 35; 184;0.84232; 0.0142513; 115.345
47; 36; 184;0.84232; 0.0142513; 115.345
47; 36; 188;0.84232; 0.0142513; 115.345
47; 36; 188;0.84232; 0.0142513; 115.345
48; 37; 188;0.84232; 0.0142513; 115.345
48; 37; 192;0.84232; 0.0142513; 115.345
48; 37; 192;0.84232; 0.0142513; 115.345
49; 38; 192;0.84232; 0.0142513; 115.345
49; 38; 196;0.84232; 0.0142513; 115.345
49; 38; 196;0.84232; 0.0142513; 115.345
50; 39; 196;0.84232; 0.0142513; 115.345
50; 39; 200;0.84232; 0.0142513; 115.345
50; 39; 200;0.84232; 0.0142513; 115.345
51; 40; 200;0.84232; 0.0142513; 115.345
51; 40; 204;0.84232; 0.0142513; 115.345
51; 40; 204;0.84232; 0.0142513; 115.345
52; 41; 204;0.84232; 0.0142513; 115.345
52; 41; 208;0.84232; 0.0142513; 115.345
52; 41; 208;0.84232; 0.0142513; 115.345
53; 42; 208;0.84232; 0.0142513; 115.345
53; 42; 212;0.84232; 0.0142513; 115.345
53; 42; 212;0.84232; 0.0142513; 115.345
54; 43; 212;0.84232; 0.0142513; 115.345
54; 43; 216;0.84232; 0.0142513; 115.345
54; 43; 216;0.84232; 0.0142513; 115.345
55; 44; 216;0.84232; 0.0142513; 115.345
55; 44; 220;0.84232; 0.0142513; 115.345
55; 44; 220;0.84232; 0.0142513; 115.345
56; 45; 220;0.84232; 0.0142513; 115.345
56; 45; 224;0.84232; 0.0142513; 115.345
56; 45; 224;0.84232; 0.0142513; 115.345
57; 46; 224;0.84232; 0.0142513; 115.345
57; 46; 228;0.84232; 0.0142513; 115.345
57; 46; 228;0.84232; 0.0142513; 115.345
58; 47; 228;0.84232; 0.0142513; 115.345
58; 47; 232;0.84232; 0.0142513; 115.345
58; 47; 232;0.84232; 0.0142513; 115.345
59; 48; 232;0.84232; 0.0142513; 115.345
59; 48; 236;0.84232; 0.0142513; 115.345
59; 48; 236;0.84232; 0.0142513; 115.345
60; 49; 236;0.84232; 0.0142513; 115.345
60; 49; 240;0.84232; 0.0142513; 115.345
60; 49; 240;0.84232; 0.0142513; 115.345
61; 50; 240;0.84232; 0.0142513; 115.345
61; 50; 244;0.84232; 0.0142513; 115.345
61; 50; 244;0.84232; 0.0142513; 115.345
62; 51; 244;0.84232; 0.0142513; 115.345
62; 51; 248;0.84232; 0.0142513; 115.345
62; 51; 248;0.84232; 0.0142513; 115.345
63; 52; 248;0.84232; 0.0142513; 115.345
63; 52; 252;0.84232; 0.0142513; 115.345
63; 52; 252;0.84232; 0.0142513; 115.345
64; 53; 252;0.84232; 0.0142513; 115.345
64; 53; 256;0.84232; 0.0142513; 115.345
64; 53; 256;0.84232; 0.0142513; 115.345
65; 54; 256;0.84232; 0.0142513; 115.345
65; 54; 260;0.84232; 0.0142513; 115.345
65; 54; 260;0.84232; 0.0142513; 115.345
66; 55; 260;0.84232; 0.0142513; 115.345
66; 55; 264;0.84232; 0.0142513; 115.345
66; 55; 264;0.84232; 0.0142513; 115.345
67; 56; 264;0.84232; 0.0142513; 115.345
67; 56; 268;0.84232; 0.0142513; 115.345
67; 56; 268;0.84232; 0.0142513; 115.345
68; 57; 268;0.84232; 0.0142513; 115.345
68; 57; 272;0.84232; 0.0142513; 115.345
68; 57; 272;0.84232; 0.0142513; 115.345
69; 58; 272;0.84232; 0.0142513; 115.345
69; 58; 276;0.84232; 0.0142513; 115.345
69; 58; 276;0.84232; 0.0142513; 115.345
70; 59; 276;0.84232; 0.0142513; 115.345
70; 59; 280;0.84232; 0.0142513; 115.345
70; 59; 280;0.84232; 0.0142513; 115.345
71; 60; 280;0.84232; 0.0142513; 115.345
71; 60; 284;0.84232; 0.0142513; 115.345
71; 60; 284;0.84232; 0.0142513; 115.345
72; 61; 284;0.84232; 0.0142513; 115.345
72; 61; 288;0.84232; 0.0142513; 115.345
72; 61; 288;0.84232; 0.0142513; 115.345
73; 62; 288;0.84232; 0.0142513; 115.345
73; 62; 292;0.84232; 0.0142513; 115.345
73; 62; 292;0.84232; 0.0142513; 115.345
74; 63; 292;0.84232; 0.0142513; 115.345
74; 63; 296;0.84232; 0.0142513; 115.345
74; 63; 296;0.84232; 0.0142513; 115.345
75; 64; 296;0.84232; 0.0142513; 115.345
75; 64; 300;0.84232; 0.0142513; 115.345
