event	time	node	configname	*.prio	acceleration	controllerAcceleration	distance	nodeId	posx	posy	relativeSpeed	speed
100176	19.41	Highway.node[0].appl	BrakingNoGui		0	0	-1	0	419.913	242.45	0	0
100177	19.41	Highway.node[1].appl	BrakingNoGui		0	0	1.67664	1	414.237	242.45	0	0
100178	19.41	Highway.node[2].appl	BrakingNoGui		0	0	1.71083	2	408.526	242.45	0	0
100179	19.41	Highway.node[3].appl	BrakingNoGui		0	0	1.98296	3	402.543	242.45	0	0
100180	19.41	Highway.node[4].appl	BrakingNoGui		0	0	1.93574	4	396.607	242.45	0	0
100181	19.41	Highway.node[5].appl	BrakingNoGui		0	0	1.97031	5	390.637	242.45	0	0
100182	19.41	Highway.node[6].appl	BrakingNoGui		0	0	1.08698	6	385.55	242.45	0	0
100183	19.41	Highway.node[7].appl	BrakingNoGui		0	0	1.34284	7	380.207	242.45	0	0
100722	19.51	Highway.node[0].appl	BrakingNoGui		0	0	-1	0	419.913	242.45	0	0
100723	19.51	Highway.node[1].appl	BrakingNoGui		0	0	1.67664	1	414.237	242.45	0	0
100724	19.51	Highway.node[2].appl	BrakingNoGui		0	0	1.71083	2	408.526	242.45	0	0
100725	19.51	Highway.node[3].appl	BrakingNoGui		0	0	1.98296	3	402.543	242.45	0	0
100726	19.51	Highway.node[4].appl	BrakingNoGui		0	0	1.93574	4	396.607	242.45	0	0
100727	19.51	Highway.node[5].appl	BrakingNoGui		0	0	1.97031	5	390.637	242.45	0	0
100728	19.51	Highway.node[6].appl	BrakingNoGui		0	0	1.08698	6	385.55	242.45	0	0
100729	19.51	Highway.node[7].appl	BrakingNoGui		0	0	1.34284	7	380.207	242.45	0	0
101268	19.61	Highway.node[0].appl	BrakingNoGui		0	0	-1	0	419.913	242.45	0	0
101269	19.61	Highway.node[1].appl	BrakingNoGui		0	0	1.67664	1	414.237	242.45	0	0
101270	19.61	Highway.node[2].appl	BrakingNoGui		0	0	1.71083	2	408.526	242.45	0	0
101271	19.61	Highway.node[3].appl	BrakingNoGui		0	0	1.98296	3	402.543	242.45	0	0
101272	19.61	Highway.node[4].appl	BrakingNoGui		0	0	1.93574	4	396.607	242.45	0	0
101273	19.61	Highway.node[5].appl	BrakingNoGui		0	0	1.97031	5	390.637	242.45	0	0
101274	19.61	Highway.node[6].appl	BrakingNoGui		0	0	1.08698	6	385.55	242.45	0	0
