Iterations; Iterationswithoutimprovement; Evaluations;caccC1; caccOmegaN; caccXi
1; 1; 4;0.958502; 0.307834; 261.822
2; 0; 4;0.958502; 0.307834; 261.822
2; 0; 8;0.958502; 0.307834; 261.822
2; 0; 8;0.958502; 0.307834; 261.822
3; 1; 8;0.958502; 0.307834; 261.822
3; 1; 12;0.958502; 0.307834; 261.822
3; 1; 12;0.958502; 0.307834; 261.822
4; 2; 12;0.958502; 0.307834; 261.822
4; 2; 16;0.958502; 0.307834; 261.822
4; 2; 16;0.977971; 0.151365; 579.326
5; 0; 16;0.977971; 0.151365; 579.326
5; 0; 20;0.977971; 0.151365; 579.326
5; 0; 20;0.913451; 0.280787; 170.077
6; 0; 20;0.913451; 0.280787; 170.077
6; 0; 24;0.913451; 0.280787; 170.077
6; 0; 24;0.913451; 0.280787; 170.077
7; 1; 24;0.913451; 0.280787; 170.077
7; 1; 28;0.913451; 0.280787; 170.077
7; 1; 28;0.913451; 0.280787; 170.077
8; 2; 28;0.913451; 0.280787; 170.077
8; 2; 32;0.913451; 0.280787; 170.077
8; 2; 32;0.913451; 0.280787; 170.077
9; 3; 32;0.913451; 0.280787; 170.077
9; 3; 36;0.913451; 0.280787; 170.077
9; 3; 36;0.913451; 0.280787; 170.077
10; 4; 36;0.913451; 0.280787; 170.077
10; 4; 40;0.913451; 0.280787; 170.077
10; 4; 40;0.913451; 0.280787; 170.077
11; 5; 40;0.913451; 0.280787; 170.077
11; 5; 44;0.913451; 0.280787; 170.077
11; 5; 44;0.913451; 0.280787; 170.077
12; 6; 44;0.913451; 0.280787; 170.077
12; 6; 48;0.913451; 0.280787; 170.077
12; 6; 48;0.763566; 1.0669; 9.39979
13; 0; 48;0.763566; 1.0669; 9.39979
13; 0; 52;0.763566; 1.0669; 9.39979
13; 0; 52;0.763566; 1.0669; 9.39979
14; 1; 52;0.763566; 1.0669; 9.39979
14; 1; 56;0.763566; 1.0669; 9.39979
14; 1; 56;0.763566; 1.0669; 9.39979
15; 2; 56;0.763566; 1.0669; 9.39979
15; 2; 60;0.763566; 1.0669; 9.39979
15; 2; 60;0.763566; 1.0669; 9.39979
16; 3; 60;0.763566; 1.0669; 9.39979
16; 3; 64;0.763566; 1.0669; 9.39979
16; 3; 64;0.763566; 1.0669; 9.39979
17; 4; 64;0.763566; 1.0669; 9.39979
17; 4; 68;0.763566; 1.0669; 9.39979
17; 4; 68;0.763566; 1.0669; 9.39979
18; 5; 68;0.763566; 1.0669; 9.39979
18; 5; 72;0.763566; 1.0669; 9.39979
18; 5; 72;0.763566; 1.0669; 9.39979
19; 6; 72;0.763566; 1.0669; 9.39979
19; 6; 76;0.763566; 1.0669; 9.39979
19; 6; 76;0.763566; 1.0669; 9.39979
20; 7; 76;0.763566; 1.0669; 9.39979
20; 7; 80;0.763566; 1.0669; 9.39979
20; 7; 80;0.763566; 1.0669; 9.39979
21; 8; 80;0.763566; 1.0669; 9.39979
21; 8; 84;0.763566; 1.0669; 9.39979
21; 8; 84;0.763566; 1.0669; 9.39979
22; 9; 84;0.763566; 1.0669; 9.39979
22; 9; 88;0.763566; 1.0669; 9.39979
22; 9; 88;0.763566; 1.0669; 9.39979
23; 10; 88;0.763566; 1.0669; 9.39979
23; 10; 92;0.763566; 1.0669; 9.39979
23; 10; 92;0.763566; 1.0669; 9.39979
24; 11; 92;0.763566; 1.0669; 9.39979
24; 11; 96;0.763566; 1.0669; 9.39979
24; 11; 96;0.763566; 1.0669; 9.39979
25; 12; 96;0.763566; 1.0669; 9.39979
25; 12; 100;0.763566; 1.0669; 9.39979
25; 12; 100;0.763566; 1.0669; 9.39979
26; 13; 100;0.763566; 1.0669; 9.39979
26; 13; 104;0.763566; 1.0669; 9.39979
26; 13; 104;0.763566; 1.0669; 9.39979
27; 14; 104;0.763566; 1.0669; 9.39979
27; 14; 108;0.763566; 1.0669; 9.39979
27; 14; 108;0.763566; 1.0669; 9.39979
28; 15; 108;0.763566; 1.0669; 9.39979
28; 15; 112;0.763566; 1.0669; 9.39979
28; 15; 112;0.763566; 1.0669; 9.39979
29; 16; 112;0.763566; 1.0669; 9.39979
29; 16; 116;0.763566; 1.0669; 9.39979
29; 16; 116;0.763566; 1.0669; 9.39979
30; 17; 116;0.763566; 1.0669; 9.39979
30; 17; 120;0.763566; 1.0669; 9.39979
30; 17; 120;0.763566; 1.0669; 9.39979
31; 18; 120;0.763566; 1.0669; 9.39979
31; 18; 124;0.763566; 1.0669; 9.39979
31; 18; 124;0.763566; 1.0669; 9.39979
32; 19; 124;0.763566; 1.0669; 9.39979
32; 19; 128;0.763566; 1.0669; 9.39979
32; 19; 128;0.763566; 1.0669; 9.39979
33; 20; 128;0.763566; 1.0669; 9.39979
33; 20; 132;0.763566; 1.0669; 9.39979
33; 20; 132;0.763566; 1.0669; 9.39979
34; 21; 132;0.763566; 1.0669; 9.39979
34; 21; 136;0.763566; 1.0669; 9.39979
34; 21; 136;0.763566; 1.0669; 9.39979
35; 22; 136;0.763566; 1.0669; 9.39979
35; 22; 140;0.763566; 1.0669; 9.39979
35; 22; 140;0.763566; 1.0669; 9.39979
36; 23; 140;0.763566; 1.0669; 9.39979
36; 23; 144;0.763566; 1.0669; 9.39979
36; 23; 144;0.763566; 1.0669; 9.39979
37; 24; 144;0.763566; 1.0669; 9.39979
37; 24; 148;0.763566; 1.0669; 9.39979
37; 24; 148;0.763566; 1.0669; 9.39979
38; 25; 148;0.763566; 1.0669; 9.39979
38; 25; 152;0.763566; 1.0669; 9.39979
38; 25; 152;0.763566; 1.0669; 9.39979
39; 26; 152;0.763566; 1.0669; 9.39979
39; 26; 156;0.763566; 1.0669; 9.39979
39; 26; 156;0.763566; 1.0669; 9.39979
40; 27; 156;0.763566; 1.0669; 9.39979
40; 27; 160;0.763566; 1.0669; 9.39979
40; 27; 160;0.763566; 1.0669; 9.39979
41; 28; 160;0.763566; 1.0669; 9.39979
41; 28; 164;0.763566; 1.0669; 9.39979
41; 28; 164;0.763566; 1.0669; 9.39979
42; 29; 164;0.763566; 1.0669; 9.39979
42; 29; 168;0.763566; 1.0669; 9.39979
42; 29; 168;0.763566; 1.0669; 9.39979
43; 30; 168;0.763566; 1.0669; 9.39979
43; 30; 172;0.763566; 1.0669; 9.39979
43; 30; 172;0.763566; 1.0669; 9.39979
44; 31; 172;0.763566; 1.0669; 9.39979
44; 31; 176;0.763566; 1.0669; 9.39979
44; 31; 176;0.763566; 1.0669; 9.39979
45; 32; 176;0.763566; 1.0669; 9.39979
45; 32; 180;0.763566; 1.0669; 9.39979
45; 32; 180;0.763566; 1.0669; 9.39979
46; 33; 180;0.763566; 1.0669; 9.39979
46; 33; 184;0.763566; 1.0669; 9.39979
46; 33; 184;0.763566; 1.0669; 9.39979
47; 34; 184;0.763566; 1.0669; 9.39979
47; 34; 188;0.763566; 1.0669; 9.39979
47; 34; 188;0.763566; 1.0669; 9.39979
48; 35; 188;0.763566; 1.0669; 9.39979
48; 35; 192;0.763566; 1.0669; 9.39979
48; 35; 192;0.763566; 1.0669; 9.39979
49; 36; 192;0.763566; 1.0669; 9.39979
49; 36; 196;0.763566; 1.0669; 9.39979
49; 36; 196;0.763566; 1.0669; 9.39979
50; 37; 196;0.763566; 1.0669; 9.39979
50; 37; 200;0.763566; 1.0669; 9.39979
50; 37; 200;0.763566; 1.0669; 9.39979
51; 38; 200;0.763566; 1.0669; 9.39979
51; 38; 204;0.763566; 1.0669; 9.39979
51; 38; 204;0.763566; 1.0669; 9.39979
52; 39; 204;0.763566; 1.0669; 9.39979
52; 39; 208;0.763566; 1.0669; 9.39979
52; 39; 208;0.763566; 1.0669; 9.39979
53; 40; 208;0.763566; 1.0669; 9.39979
53; 40; 212;0.763566; 1.0669; 9.39979
53; 40; 212;0.763566; 1.0669; 9.39979
54; 41; 212;0.763566; 1.0669; 9.39979
54; 41; 216;0.763566; 1.0669; 9.39979
54; 41; 216;0.763566; 1.0669; 9.39979
55; 42; 216;0.763566; 1.0669; 9.39979
55; 42; 220;0.763566; 1.0669; 9.39979
55; 42; 220;0.763566; 1.0669; 9.39979
56; 43; 220;0.763566; 1.0669; 9.39979
56; 43; 224;0.763566; 1.0669; 9.39979
56; 43; 224;0.763566; 1.0669; 9.39979
57; 44; 224;0.763566; 1.0669; 9.39979
57; 44; 228;0.763566; 1.0669; 9.39979
57; 44; 228;0.763566; 1.0669; 9.39979
58; 45; 228;0.763566; 1.0669; 9.39979
58; 45; 232;0.763566; 1.0669; 9.39979
58; 45; 232;0.763566; 1.0669; 9.39979
59; 46; 232;0.763566; 1.0669; 9.39979
59; 46; 236;0.763566; 1.0669; 9.39979
59; 46; 236;0.763566; 1.0669; 9.39979
60; 47; 236;0.763566; 1.0669; 9.39979
60; 47; 240;0.763566; 1.0669; 9.39979
60; 47; 240;0.763566; 1.0669; 9.39979
61; 48; 240;0.763566; 1.0669; 9.39979
61; 48; 244;0.763566; 1.0669; 9.39979
61; 48; 244;0.763566; 1.0669; 9.39979
62; 49; 244;0.763566; 1.0669; 9.39979
62; 49; 248;0.763566; 1.0669; 9.39979
62; 49; 248;0.763566; 1.0669; 9.39979
63; 50; 248;0.763566; 1.0669; 9.39979
63; 50; 252;0.763566; 1.0669; 9.39979
63; 50; 252;0.763566; 1.0669; 9.39979
64; 51; 252;0.763566; 1.0669; 9.39979
64; 51; 256;0.763566; 1.0669; 9.39979
64; 51; 256;0.763566; 1.0669; 9.39979
65; 52; 256;0.763566; 1.0669; 9.39979
65; 52; 260;0.763566; 1.0669; 9.39979
65; 52; 260;0.763566; 1.0669; 9.39979
66; 53; 260;0.763566; 1.0669; 9.39979
66; 53; 264;0.763566; 1.0669; 9.39979
66; 53; 264;0.763566; 1.0669; 9.39979
67; 54; 264;0.763566; 1.0669; 9.39979
67; 54; 268;0.763566; 1.0669; 9.39979
67; 54; 268;0.763566; 1.0669; 9.39979
68; 55; 268;0.763566; 1.0669; 9.39979
68; 55; 272;0.763566; 1.0669; 9.39979
68; 55; 272;0.763566; 1.0669; 9.39979
69; 56; 272;0.763566; 1.0669; 9.39979
69; 56; 276;0.763566; 1.0669; 9.39979
69; 56; 276;0.763566; 1.0669; 9.39979
70; 57; 276;0.763566; 1.0669; 9.39979
70; 57; 280;0.763566; 1.0669; 9.39979
70; 57; 280;0.763566; 1.0669; 9.39979
71; 58; 280;0.763566; 1.0669; 9.39979
71; 58; 284;0.763566; 1.0669; 9.39979
71; 58; 284;0.763566; 1.0669; 9.39979
72; 59; 284;0.763566; 1.0669; 9.39979
72; 59; 288;0.763566; 1.0669; 9.39979
72; 59; 288;0.763566; 1.0669; 9.39979
73; 60; 288;0.763566; 1.0669; 9.39979
73; 60; 292;0.763566; 1.0669; 9.39979
73; 60; 292;0.763566; 1.0669; 9.39979
74; 61; 292;0.763566; 1.0669; 9.39979
74; 61; 296;0.763566; 1.0669; 9.39979
74; 61; 296;0.763566; 1.0669; 9.39979
75; 62; 296;0.763566; 1.0669; 9.39979
75; 62; 300;0.763566; 1.0669; 9.39979
75; 62; 300;0.763566; 1.0669; 9.39979
